model_tag,model,variant,rung,kind,n_runs,mean_decode_steps,adjacent_overlap,lift_vs_random,recency_baseline,retention_lag64,retention_lag512,retention_lag1024,A99_pct,cov_top10pct,pool_N
glm5,GLM-5,all_layers,8192,bf,20,84.7,0.844528,2.567760,0.414346,0.701400,,,54.080376,0.305372,6306
glm5,GLM-5,all_layers,8192,ld,8,2048.0,0.858898,2.543813,0.599012,0.716903,0.565479,0.443720,80.080906,0.291048,7094
glm5,GLM-5,all_layers,16384,bf,20,95.2,0.785971,5.384419,0.302332,0.574337,,,33.256253,0.610445,14103
glm5,GLM-5,all_layers,16384,ld,8,2048.0,0.804203,4.954459,0.520117,0.637213,0.489035,0.383415,65.690596,0.456506,13621
glm5,GLM-5,all_layers,32768,bf,20,81.2,0.744623,10.441605,0.241200,0.535489,,,20.753466,0.855770,28894
glm5,GLM-5,all_layers,32768,ld,8,2048.0,0.775441,9.489487,0.490218,0.601180,0.452988,0.353788,49.155139,0.651039,26181
glm5,GLM-5,all_layers,65536,bf,19,95.9,0.711115,20.404556,0.220719,0.457120,,,12.980342,0.948099,58978
glm5,GLM-5,all_layers,65536,ld,8,2048.0,0.774456,24.284690,0.462852,0.565112,0.414982,0.315984,31.878815,0.852915,65228
glm5,GLM-5,all_layers,131072,bf,16,16.9,0.690737,40.936831,0.205898,0.379847,,,4.685741,0.996440,121736
glm5,GLM-5,all_layers,131072,ld,8,2048.0,0.763901,41.674900,0.460803,0.561579,0.407894,0.297749,23.754486,0.909872,113137
glm52,GLM-5.2,all_layers,8192,bf,20,92.0,0.842227,2.564465,0.437506,0.693545,,,54.161798,0.305930,6314
glm52,GLM-5.2,all_layers,8192,ld,8,2048.0,0.854617,2.527621,0.624635,0.721857,0.556300,0.442452,81.814615,0.293237,7094
glm52,GLM-5.2,all_layers,16384,bf,20,93.0,0.782107,5.358718,0.328298,0.560029,,,32.344562,0.615385,14102
glm52,GLM-5.2,all_layers,16384,ld,8,2048.0,0.807780,4.961116,0.533140,0.629315,0.461115,0.358525,68.639073,0.441960,13622
glm52,GLM-5.2,all_layers,32768,bf,20,89.3,0.743191,10.435379,0.254963,0.495253,,,20.518585,0.862682,28903
glm52,GLM-5.2,all_layers,32768,ld,8,2048.0,0.765555,9.366835,0.495395,0.597597,0.426651,0.334895,50.380392,0.631208,26182
glm52,GLM-5.2,all_layers,65536,bf,19,91.2,0.709287,20.361025,0.232600,0.459555,,,11.965862,0.957807,58974
glm52,GLM-5.2,all_layers,65536,ld,8,2048.0,0.752769,23.605396,0.459970,0.546270,0.376662,0.303152,32.223907,0.834243,65229
glm52,GLM-5.2,all_layers,131072,bf,16,14.3,0.677270,40.107914,0.211385,,,,4.589068,0.998028,121734
glm52,GLM-5.2,all_layers,131072,ld,8,2048.0,0.751059,40.970709,0.445940,0.529543,0.358332,0.290810,25.172013,0.894191,113138
glm52b,GLM-5.2,computing_only,8192,bf,20,92.0,0.843408,2.567872,0.440554,0.700832,,,54.123449,0.305845,6314
glm52b,GLM-5.2,computing_only,8192,ld,8,2048.0,0.856967,2.534769,0.614692,0.723636,0.557186,0.450859,81.115196,0.293515,7094
glm52b,GLM-5.2,computing_only,16384,bf,20,93.0,0.783341,5.367011,0.328187,0.568743,,,32.170437,0.615530,14102
glm52b,GLM-5.2,computing_only,16384,ld,8,2048.0,0.811655,4.985475,0.519917,0.634071,0.464528,0.370753,67.502481,0.445406,13622
glm52b,GLM-5.2,computing_only,32768,bf,20,89.3,0.738007,10.357953,0.251013,0.504908,,,20.535626,0.859877,28903
glm52b,GLM-5.2,computing_only,32768,ld,8,2048.0,0.762919,9.335383,0.474487,0.596377,0.425461,0.342969,50.066128,0.631173,26182
glm52b,GLM-5.2,computing_only,65536,bf,19,91.2,0.701387,20.125186,0.227596,0.463496,,,12.033473,0.957225,58974
glm52b,GLM-5.2,computing_only,65536,ld,8,2048.0,0.745395,23.373932,0.437160,0.541465,0.370822,0.307820,32.518750,0.828146,65229
glm52b,GLM-5.2,computing_only,131072,bf,16,14.3,0.667758,39.540251,0.206716,,,,4.687840,0.997882,121734
glm52b,GLM-5.2,computing_only,131072,ld,8,2048.0,0.740943,40.407164,0.423514,0.522314,0.350565,0.293771,25.656402,0.886786,113138
v32,DeepSeek-V3.2,all_layers,8192,bf,20,101.8,0.837005,2.548336,0.441365,0.688344,,,58.961049,0.304772,6321
v32,DeepSeek-V3.2,all_layers,8192,ld,8,2048.0,0.856726,2.584400,0.614806,0.739326,0.580479,0.433324,80.223165,0.302065,7212
v32,DeepSeek-V3.2,all_layers,16384,bf,20,102.8,0.780077,5.362377,0.327255,0.576341,,,36.031745,0.603305,14148
v32,DeepSeek-V3.2,all_layers,16384,ld,8,2048.0,0.814817,5.028766,0.528845,0.658575,0.507979,0.387911,66.458051,0.470401,13678
v32,DeepSeek-V3.2,all_layers,32768,bf,20,104.0,0.733747,10.315904,0.244907,0.508165,,,23.722335,0.833426,28976
v32,DeepSeek-V3.2,all_layers,32768,ld,8,2048.0,0.794747,9.861759,0.506167,0.631523,0.487107,0.368909,46.619781,0.674715,26507
v32,DeepSeek-V3.2,all_layers,65536,bf,19,102.8,0.719010,20.624010,0.231794,0.518103,,,13.351506,0.951913,59069
v32,DeepSeek-V3.2,all_layers,65536,ld,8,2048.0,0.792879,24.826748,0.467588,0.643363,0.477616,0.351272,24.759230,0.893794,65131
v32,DeepSeek-V3.2,all_layers,131072,bf,16,24.4,0.684122,40.461556,0.224953,0.465848,,,5.703020,0.992766,121579
v32,DeepSeek-V3.2,all_layers,131072,ld,8,2048.0,0.799409,43.559274,0.470957,0.627115,0.472558,0.344020,17.827164,0.948358,112996
