lag,retention_ld64k,working_set_ratio_ld64k,retention_ld128k,working_set_ratio_ld128k
1,0.792879,1.000000,0.799409,1.000000
2,0.757068,0.603510,0.762946,0.600246
4,0.720746,0.368583,0.727570,0.366379
8,0.700428,0.228643,0.701704,0.228387
16,0.675742,0.144087,0.675515,0.145577
32,0.671622,0.091717,0.655769,0.094060
64,0.643363,0.058371,0.627115,0.061331
128,0.603427,0.037178,0.591202,0.040157
256,0.555951,0.023554,0.546566,0.026242
512,0.477616,0.014825,0.472558,0.017066
1024,0.351272,0.009195,0.344020,0.011002
2048,,,,
