lag,retention_ld64k,working_set_ratio_ld64k,retention_ld128k,working_set_ratio_ld128k
1,0.774456,1.000000,0.763901,1.000000
2,0.734137,0.612714,0.722461,0.617990
4,0.692202,0.380158,0.683109,0.387016
8,0.660699,0.240538,0.653464,0.247536
16,0.628387,0.154914,0.617992,0.161782
32,0.596776,0.100947,0.592650,0.107442
64,0.565112,0.066401,0.561579,0.071890
128,0.517887,0.043586,0.518583,0.047994
256,0.487401,0.028342,0.484213,0.031790
512,0.414982,0.018027,0.407894,0.020728
1024,0.315984,0.010943,0.297749,0.013037
2048,,,,
