00:25:23 start <WORKDIR>/runs/v32_ruler_niah_single_2_131072_s00 (free 1666G, running 8)
00:25:43 start <WORKDIR>/runs/v32_ruler_niah_single_2_131072_s01 (free 1665G, running 9)
00:26:03 start <WORKDIR>/runs/v32_ruler_niah_single_2_131072_s02 (free 1665G, running 9)
00:26:23 start <WORKDIR>/runs/v32_ruler_niah_single_2_131072_s03 (free 1665G, running 9)
00:26:44 start <WORKDIR>/runs/v32_ruler_qa_1_131072_s00 (free 1665G, running 9)
00:27:04 start <WORKDIR>/runs/v32_ruler_qa_1_131072_s01 (free 1666G, running 8)
00:27:24 start <WORKDIR>/runs/v32_ruler_qa_1_131072_s02 (free 1665G, running 9)
00:27:44 start <WORKDIR>/runs/v32_ruler_qa_1_131072_s03 (free 1665G, running 9)
00:28:04 start <WORKDIR>/runs/v32_lb2_single-document_131072_s00 (free 1665G, running 8)
00:28:24 start <WORKDIR>/runs/v32_lb2_code_131072_s01 (free 1661G, running 9)
00:28:45 start <WORKDIR>/runs/v32_lb2_long_131072_s02 (free 1661G, running 9)
00:29:05 start <WORKDIR>/runs/v32_lb2_long_131072_s03 (free 1687G, running 9)
00:29:25 start <WORKDIR>/runs/v32_ib_passkey_131072_s00 (free 1685G, running 9)
00:29:45 start <WORKDIR>/runs/v32_ib_number_string_131072_s00 (free 1674G, running 9)
00:30:05 start <WORKDIR>/runs/v32_ib_longbook_choice_eng_131072_s00 (free 1670G, running 9)
00:30:26 start <WORKDIR>/runs/v32_ib_longbook_qa_eng_131072_s00 (free 1669G, running 10)
00:30:46 start <WORKDIR>/runs/v32_ib_longbook_qa_eng_131072_ld00 (free 1643G, running 11)
00:31:06 start <WORKDIR>/runs/v32_ib_longbook_qa_eng_131072_ld01 (free 1599G, running 12)
00:31:27 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld00 (free 1554G, running 12)
00:31:47 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld01 (free 1441G, running 11)
00:32:07 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld02 (free 1342G, running 12)
00:32:27 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld03 (free 1306G, running 13)
00:32:47 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld04 (free 1267G, running 14)
00:33:07 start <WORKDIR>/runs/v32_ib_longbook_sum_eng_131072_ld05 (free 1229G, running 15)
QUEUE_DONE 01:36:56
