06:33:13 start <WORKDIR>/runs/glm5_ruler_niah_single_2_32768_s00 (free 1323G, running 19)
06:33:37 start <WORKDIR>/runs/glm5_lb2_multi-document_32768_s02 (free 1354G, running 19)
06:33:57 start <WORKDIR>/runs/glm5_lb2_code_32768_s03 (free 1378G, running 19)
06:34:18 start <WORKDIR>/runs/glm5_ib_passkey_32768_s00 (free 1380G, running 19)
06:34:38 start <WORKDIR>/runs/glm5_ib_number_string_32768_s00 (free 1390G, running 18)
06:34:58 start <WORKDIR>/runs/glm5_ib_longbook_choice_eng_32768_s00 (free 1384G, running 18)
06:35:18 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_32768_s00 (free 1380G, running 19)
06:35:38 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_32768_ld00 (free 1377G, running 19)
06:35:58 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_32768_ld01 (free 1367G, running 19)
06:39:35 start <WORKDIR>/runs/glm5_ruler_niah_single_2_32768_s01 (free 1196G, running 19)
06:40:28 start <WORKDIR>/runs/glm5_ruler_niah_single_2_32768_s02 (free 1323G, running 19)
06:41:54 start <WORKDIR>/runs/glm5_ruler_niah_single_2_32768_s03 (free 1303G, running 19)
06:44:59 start <WORKDIR>/runs/glm5_ruler_qa_1_32768_s00 (free 1334G, running 19)
06:45:19 start <WORKDIR>/runs/glm5_ruler_qa_1_32768_s01 (free 1361G, running 19)
06:45:39 start <WORKDIR>/runs/glm5_ruler_qa_1_32768_s02 (free 1321G, running 19)
06:47:04 start <WORKDIR>/runs/glm5_ruler_qa_1_32768_s03 (free 1309G, running 17)
06:47:24 start <WORKDIR>/runs/glm5_lb1_qmsum_32768_s00 (free 1301G, running 18)
06:47:44 start <WORKDIR>/runs/glm5_lb1_gov_report_32768_s01 (free 1301G, running 19)
06:53:26 start <WORKDIR>/runs/glm5_lb1_gov_report_32768_s02 (free 1268G, running 19)
06:55:22 start <WORKDIR>/runs/glm5_lb1_gov_report_32768_s03 (free 1314G, running 19)
06:56:14 start <WORKDIR>/runs/glm5_lb1_qmsum_32768_ld00 (free 1264G, running 17)
06:56:34 start <WORKDIR>/runs/glm5_lb1_qmsum_32768_ld01 (free 1361G, running 18)
06:56:54 start <WORKDIR>/runs/glm5_lb1_gov_report_32768_ld02 (free 1291G, running 18)
06:57:14 start <WORKDIR>/runs/glm5_lb1_gov_report_32768_ld03 (free 1234G, running 19)
07:03:17 start <WORKDIR>/runs/glm5_lb1_qmsum_32768_ld04 (free 903G, running 19)
07:08:46 start <WORKDIR>/runs/glm5_lb1_qmsum_32768_ld05 (free 1236G, running 19)
07:10:39 start <WORKDIR>/runs/glm5_lb2_single-document_32768_s00 (free 1261G, running 19)
07:10:59 start <WORKDIR>/runs/glm5_lb2_long-dialogue_32768_s01 (free 1301G, running 19)
QUEUE_DONE 07:49:15
