05:58:45 start <WORKDIR>/runs/glm5_lb1_gov_report_8192_s01 (free 1435G, running 19)
05:59:40 start <WORKDIR>/runs/glm5_ruler_qa_1_8192_s03 (free 1412G, running 19)
06:00:00 start <WORKDIR>/runs/glm5_lb1_gov_report_8192_s00 (free 1453G, running 19)
06:04:26 start <WORKDIR>/runs/glm5_ruler_niah_single_2_8192_s00 (free 1575G, running 19)
06:04:46 start <WORKDIR>/runs/glm5_ruler_niah_single_2_8192_s01 (free 1576G, running 19)
06:05:07 start <WORKDIR>/runs/glm5_ruler_niah_single_2_8192_s02 (free 1580G, running 18)
06:05:27 start <WORKDIR>/runs/glm5_ruler_niah_single_2_8192_s03 (free 1581G, running 17)
06:05:47 start <WORKDIR>/runs/glm5_ruler_qa_1_8192_s00 (free 1587G, running 15)
06:06:07 start <WORKDIR>/runs/glm5_ruler_qa_1_8192_s01 (free 1591G, running 13)
06:06:27 start <WORKDIR>/runs/glm5_ruler_qa_1_8192_s02 (free 1607G, running 13)
06:06:47 start <WORKDIR>/runs/glm5_lb1_qmsum_8192_s02 (free 1623G, running 13)
06:07:08 start <WORKDIR>/runs/glm5_lb1_multi_news_8192_s03 (free 1620G, running 15)
06:07:28 start <WORKDIR>/runs/glm5_lb1_multi_news_8192_ld00 (free 1596G, running 16)
06:07:48 start <WORKDIR>/runs/glm5_lb1_multi_news_8192_ld01 (free 1544G, running 18)
06:08:08 start <WORKDIR>/runs/glm5_lb1_qmsum_8192_ld02 (free 1476G, running 19)
06:12:14 start <WORKDIR>/runs/glm5_lb1_qmsum_8192_ld03 (free 1163G, running 19)
06:17:28 start <WORKDIR>/runs/glm5_lb1_gov_report_8192_ld04 (free 723G, running 19)
06:23:14 start <WORKDIR>/runs/glm5_lb1_multi_news_8192_ld05 (free 1088G, running 19)
06:25:10 start <WORKDIR>/runs/glm5_lb2_single-document_8192_s00 (free 1188G, running 19)
06:28:12 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_8192_ld01 (free 1311G, running 19)
06:31:11 start <WORKDIR>/runs/glm5_ib_longbook_choice_eng_8192_s00 (free 1263G, running 19)
06:34:41 start <WORKDIR>/runs/glm5_lb2_long-dialogue_8192_s01 (free 1388G, running 19)
06:35:01 start <WORKDIR>/runs/glm5_lb2_multi-document_8192_s02 (free 1384G, running 19)
06:44:44 start <WORKDIR>/runs/glm5_lb2_code_8192_s03 (free 1331G, running 19)
06:45:04 start <WORKDIR>/runs/glm5_ib_passkey_8192_s00 (free 1333G, running 19)
06:46:57 start <WORKDIR>/runs/glm5_ib_number_string_8192_s00 (free 1372G, running 18)
06:47:17 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_8192_s00 (free 1316G, running 18)
06:52:41 start <WORKDIR>/runs/glm5_ib_longbook_qa_eng_8192_ld00 (free 1285G, running 19)
QUEUE_DONE 07:29:11
