run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,adjacent_overlap,adjacent_jaccard,weighted_overlap,lift_vs_random,recency_baseline_overlap,retention_lag1,retention_lag8,retention_lag64,retention_lag512,retention_lag1024,retention_lag2048,working_set_w64_ratio,adjacent_overlap_std,adjacent_overlap_ci_lo,adjacent_overlap_ci_hi,adjacent_overlap_n,adjacent_jaccard_std,adjacent_jaccard_ci_lo,adjacent_jaccard_ci_hi,adjacent_jaccard_n,weighted_overlap_std,weighted_overlap_ci_lo,weighted_overlap_ci_hi,weighted_overlap_n,lift_vs_random_std,lift_vs_random_ci_lo,lift_vs_random_ci_hi,lift_vs_random_n,recency_baseline_overlap_std,recency_baseline_overlap_ci_lo,recency_baseline_overlap_ci_hi,recency_baseline_overlap_n,retention_lag1_std,retention_lag1_ci_lo,retention_lag1_ci_hi,retention_lag1_n,retention_lag8_std,retention_lag8_ci_lo,retention_lag8_ci_hi,retention_lag8_n,retention_lag64_std,retention_lag64_ci_lo,retention_lag64_ci_hi,retention_lag64_n,retention_lag512_std,retention_lag512_ci_lo,retention_lag512_ci_hi,retention_lag512_n,retention_lag1024_std,retention_lag1024_ci_lo,retention_lag1024_ci_hi,retention_lag1024_n,retention_lag2048_std,retention_lag2048_ci_lo,retention_lag2048_ci_hi,retention_lag2048_n,working_set_w64_ratio_std,working_set_w64_ratio_ci_lo,working_set_w64_ratio_ci_hi,working_set_w64_ratio_n,cpu_v4_adjacent_overlap,cpu_v4_lift
glm52_ib_longbook_choice_eng_131072_s00_b,GLM-5.2,computing_only,131072,bf,infinitebench,longbook_choice_eng,119277,3,0.6686779203869048,0.5165502074071979,0.6595492018033268,38.944775059109645,0.2604011656746032,0.6686779203869048,nan,nan,nan,nan,nan,0.020212324838789684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_16384_s00_b,GLM-5.2,computing_only,16384,bf,infinitebench,longbook_choice_eng,13832,3,0.7612885974702381,0.6243456840295583,0.755735376612902,5.142231458709354,0.33863467261904767,0.7612885974702381,nan,nan,nan,nan,nan,0.018900916689918158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_32768_s00_b,GLM-5.2,computing_only,32768,bf,infinitebench,longbook_choice_eng,30276,3,0.7113676525297619,0.5656284236692105,0.7037302778182435,10.516815565881275,0.2896825396825397,0.7113676525297619,nan,nan,nan,nan,nan,0.019645206511966766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_65536_s00_b,GLM-5.2,computing_only,65536,bf,infinitebench,longbook_choice_eng,63106,3,0.6866048177083334,0.5371214624667298,0.6780563711111893,21.157186695507594,0.28000992063492064,0.6866048177083334,nan,nan,nan,nan,nan,0.020011417449466766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_8192_s00_b,GLM-5.2,computing_only,8192,bf,infinitebench,longbook_choice_eng,5629,40,0.8526612818605005,0.7495508570584131,0.8462741641947098,2.351754485178052,0.48968157087053577,0.8526612818605005,0.7989400227864584,nan,nan,nan,nan,0.025582177298409597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_ld00_b,GLM-5.2,computing_only,131072,ld,infinitebench,longbook_qa_eng,100851,2048,0.7343626684344231,0.6034576190461499,0.7128947989561789,36.53045031937119,0.44976773801197867,0.7343626684344231,0.6191175871332192,0.5574866529470475,0.3896454547758231,0.31941865550190396,nan,0.0750322553018729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_ld01_b,GLM-5.2,computing_only,131072,ld,infinitebench,longbook_qa_eng,126892,2048,0.7015967306852133,0.5658256653905893,0.67899470775992,43.82313585672855,0.4454550241039811,0.7015967306852133,0.6032331557501998,0.5583439802060728,0.3851550652976977,0.3363578651932102,nan,0.07610766341288884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_s00_b,GLM-5.2,computing_only,131072,bf,infinitebench,longbook_qa_eng,72671,40,0.6895693824404762,0.5440076693316866,0.6726566750072038,24.47532107483628,0.24284667968749996,0.6895693824404762,0.5698154994419643,nan,nan,nan,nan,0.05082479204450335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_16384_ld00_b,GLM-5.2,computing_only,16384,ld,infinitebench,longbook_qa_eng,13888,2048,0.7841905806006759,0.6651845834750929,0.7638158311343906,5.708758876892029,0.5301781268346877,0.7841905806006759,0.7046516995470062,0.6530433338358654,0.49014834752158515,0.4099140167236328,nan,0.047734305617355165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_16384_ld01_b,GLM-5.2,computing_only,16384,ld,infinitebench,longbook_qa_eng,13489,2048,0.8201658009434538,0.7072545777510111,0.8009334960133243,5.811611959400515,0.5641755603608631,0.8201658009434538,0.7391140180030346,0.6747696930728567,0.5095835640316918,0.4011901446751186,nan,0.04391668701455707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
