run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,hotset_A99_pct,hotset_B99_pct,hotset_top10pct_coverage,hotset_top5pct_coverage,hotset_top1pct_coverage,hotset_pool_N,hotset_A99_pct_std,hotset_A99_pct_ci_lo,hotset_A99_pct_ci_hi,hotset_A99_pct_n,hotset_B99_pct_std,hotset_B99_pct_ci_lo,hotset_B99_pct_ci_hi,hotset_B99_pct_n,hotset_top10pct_coverage_std,hotset_top10pct_coverage_ci_lo,hotset_top10pct_coverage_ci_hi,hotset_top10pct_coverage_n,hotset_top5pct_coverage_std,hotset_top5pct_coverage_ci_lo,hotset_top5pct_coverage_ci_hi,hotset_top5pct_coverage_n,hotset_top1pct_coverage_std,hotset_top1pct_coverage_ci_lo,hotset_top1pct_coverage_ci_hi,hotset_top1pct_coverage_n,hotset_pool_N_std,hotset_pool_N_ci_lo,hotset_pool_N_ci_hi,hotset_pool_N_n
glm5_ib_longbook_choice_eng_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,longbook_choice_eng,119276,3,2.5417888225782392,2.5761623030188905,1.0,1.0,0.566539797008547,119278.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,longbook_choice_eng,13831,40,39.164679348529376,44.48431405172573,0.5638401129306891,0.31718609149639426,0.06759283603766025,13870.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,longbook_choice_eng,30275,40,22.34344628782842,24.84440632491038,0.8237254607371796,0.5726039788661859,0.14371619591346155,30314.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,longbook_choice_eng,63105,40,13.615845913451386,14.841006474415826,0.939445299979968,0.7826023199619391,0.27320666190905446,63144.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,longbook_choice_eng,5628,40,61.1930067462095,68.66722771963639,0.27528968224158656,0.13811019506209937,0.02783203125,5667.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_ld00,GLM-5,all_layers,131072,ld,infinitebench,longbook_qa_eng,100850,2048,24.070585397446237,35.382606903642504,0.9133521907671834,0.8065057398124548,0.3495444027962806,102897.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_ld01,GLM-5,all_layers,131072,ld,infinitebench,longbook_qa_eng,126891,2048,21.913672681483565,32.45025138299426,0.9243054051103485,0.8325575524855282,0.40845135169826563,128938.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,longbook_qa_eng,72670,40,11.220562756136069,12.280090180350122,0.9631341396233974,0.8396135379106571,0.3168641701722757,72709.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_16384_ld00,GLM-5,all_layers,16384,ld,infinitebench,longbook_qa_eng,13887,2048,57.47932979952559,72.09941328492853,0.516954996646979,0.30577264382289004,0.07297270114605243,15934.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_16384_ld01,GLM-5,all_layers,16384,ld,infinitebench,longbook_qa_eng,13488,2048,60.41651192922516,75.0588002277735,0.5020536306576852,0.29924364884694415,0.07162758631583972,15535.0,,,,,,,,,,,,,,,,,,,,,,,,
