run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,hotset_A99_pct,hotset_B99_pct,hotset_top10pct_coverage,hotset_top5pct_coverage,hotset_top1pct_coverage,hotset_pool_N,hotset_A99_pct_std,hotset_A99_pct_ci_lo,hotset_A99_pct_ci_hi,hotset_A99_pct_n,hotset_B99_pct_std,hotset_B99_pct_ci_lo,hotset_B99_pct_ci_hi,hotset_B99_pct_n,hotset_top10pct_coverage_std,hotset_top10pct_coverage_ci_lo,hotset_top10pct_coverage_ci_hi,hotset_top10pct_coverage_n,hotset_top5pct_coverage_std,hotset_top5pct_coverage_ci_lo,hotset_top5pct_coverage_ci_hi,hotset_top5pct_coverage_n,hotset_top1pct_coverage_std,hotset_top1pct_coverage_ci_lo,hotset_top1pct_coverage_ci_hi,hotset_top1pct_coverage_n,hotset_pool_N_std,hotset_pool_N_ci_lo,hotset_pool_N_ci_hi,hotset_pool_N_n
glm52_ib_longbook_choice_eng_131072_s00,GLM-5.2,all_layers,131072,bf,infinitebench,longbook_choice_eng,119277,3,2.538876209430121,2.573249401693638,1.0,1.0,0.5662810496794872,119279.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_16384_s00,GLM-5.2,all_layers,16384,bf,infinitebench,longbook_choice_eng,13832,3,19.740383225275526,20.036754484491947,0.6630003839476496,0.33743573050213677,0.0673828125,13834.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_32768_s00,GLM-5.2,all_layers,32768,bf,infinitebench,longbook_choice_eng,30276,3,9.512873017728026,9.648284867916285,0.9876510750534186,0.6984279013087606,0.14764039129273504,30278.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_65536_s00,GLM-5.2,all_layers,65536,bf,infinitebench,longbook_choice_eng,63106,3,4.686877847174481,4.751845838554338,1.0,0.9890407986111108,0.3068117321047008,63108.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_choice_eng_8192_s00,GLM-5.2,all_layers,8192,bf,infinitebench,longbook_choice_eng,5629,40,59.05149014711471,66.74176211932034,0.2766947428385416,0.13818359375,0.02783203125,5668.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_ld00,GLM-5.2,all_layers,131072,ld,infinitebench,longbook_qa_eng,100851,2048,24.25250845871266,36.09395861772,0.9106597471313125,0.7925642444985357,0.34982404011211155,102898.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_ld01,GLM-5.2,all_layers,131072,ld,infinitebench,longbook_qa_eng,126892,2048,18.97794643899391,28.537177488619655,0.939440273081122,0.8413493228897383,0.4135492133673414,128939.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_131072_s00,GLM-5.2,all_layers,131072,bf,infinitebench,longbook_qa_eng,72671,40,11.25301073107427,12.32560681879895,0.9698983999399041,0.8442788148537661,0.3192971254006411,72710.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_16384_ld00,GLM-5.2,all_layers,16384,ld,infinitebench,longbook_qa_eng,13888,2048,59.02504565824305,75.36884619407364,0.5124860023840879,0.3113568257062863,0.07526229283748528,15935.0,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ib_longbook_qa_eng_16384_ld01,GLM-5.2,all_layers,16384,ld,infinitebench,longbook_qa_eng,13489,2048,58.554573001663634,73.84461894953655,0.5177164261157696,0.3079714469420604,0.07292912556574895,15536.0,,,,,,,,,,,,,,,,,,,,,,,,
