run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,moe_adjacent_overlap,moe_lift,moe_adjacent_overlap_std,moe_adjacent_overlap_ci_lo,moe_adjacent_overlap_ci_hi,moe_adjacent_overlap_n,moe_lift_std,moe_lift_ci_lo,moe_lift_ci_hi,moe_lift_n
v32_ib_longbook_choice_eng_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,infinitebench,longbook_choice_eng,119021,40,0.2532603890362511,8.104332449160035,,,,,,,,
v32_ib_longbook_choice_eng_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,infinitebench,longbook_choice_eng,13818,40,0.28276967285587973,9.048629531388151,,,,,,,,
v32_ib_longbook_choice_eng_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,infinitebench,longbook_choice_eng,30202,40,0.28299071618037125,9.05570291777188,,,,,,,,
v32_ib_longbook_choice_eng_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,infinitebench,longbook_choice_eng,62970,40,0.28404067197170646,9.089301503094607,,,,,,,,
v32_ib_longbook_choice_eng_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,infinitebench,longbook_choice_eng,5626,40,0.2548629531388152,8.155614500442086,,,,,,,,
v32_ib_longbook_qa_eng_131072_ld00,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_qa_eng,100380,2048,0.2470225561376615,7.904721796405168,,,,,,,,
v32_ib_longbook_qa_eng_131072_ld01,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_qa_eng,128484,2048,0.26087482943921303,8.347994542054817,,,,,,,,
v32_ib_longbook_qa_eng_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,infinitebench,longbook_qa_eng,71912,40,0.2663572060123784,8.523430592396108,,,,,,,,
v32_ib_longbook_qa_eng_16384_ld00,DeepSeek-V3.2,all_layers,16384,ld,infinitebench,longbook_qa_eng,13797,2048,0.241418265586308,7.725384498761856,,,,,,,,
v32_ib_longbook_qa_eng_16384_ld01,DeepSeek-V3.2,all_layers,16384,ld,infinitebench,longbook_qa_eng,13796,2048,0.19314429863719823,6.180617556390343,,,,,,,,
v32_ib_longbook_qa_eng_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,infinitebench,longbook_qa_eng,13801,32,0.23241101223581756,7.437152391546162,,,,,,,,
v32_ib_longbook_qa_eng_32768_ld00,DeepSeek-V3.2,all_layers,32768,ld,infinitebench,longbook_qa_eng,30181,2048,0.2502716338459983,8.008692283071946,,,,,,,,
v32_ib_longbook_qa_eng_32768_ld01,DeepSeek-V3.2,all_layers,32768,ld,infinitebench,longbook_qa_eng,30180,2048,0.20337584016980276,6.508026885433688,,,,,,,,
v32_ib_longbook_qa_eng_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,infinitebench,longbook_qa_eng,30185,31,0.2767959770114943,8.857471264367817,,,,,,,,
v32_ib_longbook_qa_eng_65536_ld00,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_qa_eng,62948,2048,0.21839045364957976,6.988494516786552,,,,,,,,
v32_ib_longbook_qa_eng_65536_ld01,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_qa_eng,62948,2048,0.22806082913599382,7.297946532351802,,,,,,,,
v32_ib_longbook_qa_eng_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,infinitebench,longbook_qa_eng,62953,40,0.26906498673740054,8.610079575596817,,,,,,,,
v32_ib_longbook_qa_eng_8192_ld00,DeepSeek-V3.2,all_layers,8192,ld,infinitebench,longbook_qa_eng,5605,2048,0.20968658928962486,6.7099708572679955,,,,,,,,
v32_ib_longbook_qa_eng_8192_ld01,DeepSeek-V3.2,all_layers,8192,ld,infinitebench,longbook_qa_eng,5604,2048,0.2394884018664825,7.66362885972744,,,,,,,,
v32_ib_longbook_qa_eng_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,infinitebench,longbook_qa_eng,5609,28,0.27506385696040864,8.802043422733076,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld00,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,128665,2048,0.2788437242053131,8.92299917457002,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld01,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,128667,2048,0.2815158432019946,9.008506982463826,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld02,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,128666,2048,0.2832761989791621,9.064838367333188,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld03,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,75387,2048,0.2758031096811145,8.825699509795664,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld04,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,128665,2048,0.27914483769351284,8.93263480619241,,,,,,,,
v32_ib_longbook_sum_eng_131072_ld05,DeepSeek-V3.2,all_layers,131072,ld,infinitebench,longbook_sum_eng,68681,2048,0.2994721038357226,9.583107322743123,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld00,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63129,2048,0.27981865808668693,8.954197058773982,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld01,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63130,2048,0.2863778784764921,9.164092111247747,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld02,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63130,2048,0.25693613867223686,8.22195643751158,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld03,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63130,2048,0.27884267136094876,8.92296548355036,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld04,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63129,2048,0.26507462560854406,8.48238801947341,,,,,,,,
v32_ib_longbook_sum_eng_65536_ld05,DeepSeek-V3.2,all_layers,65536,ld,infinitebench,longbook_sum_eng,63129,2048,0.26527256034903895,8.488721931169247,,,,,,,,
v32_ib_number_string_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,infinitebench,number_string,125347,12,0.26900470219435735,8.608150470219435,,,,,,,,
v32_ib_number_string_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,infinitebench,number_string,13807,12,0.2768416927899687,8.858934169278998,,,,,,,,
v32_ib_number_string_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,infinitebench,number_string,30191,12,0.2717476489028213,8.695924764890282,,,,,,,,
v32_ib_number_string_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,infinitebench,number_string,62959,12,0.2727272727272727,8.727272727272727,,,,,,,,
v32_ib_number_string_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,infinitebench,number_string,5615,8,0.29156403940886705,9.330049261083746,,,,,,,,
v32_ib_passkey_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,infinitebench,passkey,125341,6,0.2857758620689655,9.144827586206896,,,,,,,,
v32_ib_passkey_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,infinitebench,passkey,13807,6,0.2836206896551724,9.075862068965517,,,,,,,,
v32_ib_passkey_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,infinitebench,passkey,30191,4,0.20833333333333331,6.666666666666666,,,,,,,,
v32_ib_passkey_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,infinitebench,passkey,62959,6,0.28060344827586203,8.979310344827585,,,,,,,,
v32_ib_passkey_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,infinitebench,passkey,5615,6,0.28318965517241373,9.06206896551724,,,,,,,,
v32_lb1_gov_report_16384_ld00,DeepSeek-V3.2,all_layers,16384,ld,longbench_v1,gov_report,10436,2048,0.28462173407678176,9.107895490457016,,,,,,,,
v32_lb1_gov_report_16384_ld02,DeepSeek-V3.2,all_layers,16384,ld,longbench_v1,gov_report,10736,2048,0.2314457237673298,7.406263160554554,,,,,,,,
v32_lb1_gov_report_16384_ld03,DeepSeek-V3.2,all_layers,16384,ld,longbench_v1,gov_report,9982,2048,0.26696026986506743,8.542728635682158,,,,,,,,
v32_lb1_gov_report_16384_ld04,DeepSeek-V3.2,all_layers,16384,ld,longbench_v1,gov_report,10768,2048,0.4500562218890554,14.401799100449773,,,,,,,,
v32_lb1_gov_report_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,longbench_v1,gov_report,11431,512,0.2609234766178555,8.349551251771375,,,,,,,,
v32_lb1_gov_report_16384_s01,DeepSeek-V3.2,all_layers,16384,bf,longbench_v1,gov_report,8241,512,0.25624198663877457,8.199743572440786,,,,,,,,
v32_lb1_gov_report_16384_s02,DeepSeek-V3.2,all_layers,16384,bf,longbench_v1,gov_report,12472,512,0.2581820635670423,8.261826034145354,,,,,,,,
v32_lb1_gov_report_32768_ld02,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,gov_report,22372,2048,0.2782014891430689,8.902447652578205,,,,,,,,
v32_lb1_gov_report_32768_ld03,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,gov_report,18118,2048,0.28139581894446036,9.004666206222732,,,,,,,,
v32_lb1_gov_report_32768_s01,DeepSeek-V3.2,all_layers,32768,bf,longbench_v1,gov_report,18631,512,0.2577054794520548,8.246575342465754,,,,,,,,
v32_lb1_gov_report_32768_s02,DeepSeek-V3.2,all_layers,32768,bf,longbench_v1,gov_report,18252,512,0.2584435521965045,8.270193670288144,,,,,,,,
v32_lb1_gov_report_32768_s03,DeepSeek-V3.2,all_layers,32768,bf,longbench_v1,gov_report,22025,512,0.2592195829678116,8.295026654969972,,,,,,,,
v32_lb1_gov_report_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,longbench_v1,gov_report,43471,512,0.2612355759497942,8.359538430393414,,,,,,,,
v32_lb1_gov_report_65536_s01,DeepSeek-V3.2,all_layers,65536,bf,longbench_v1,gov_report,51510,512,0.26663826843916594,8.53242459005331,,,,,,,,
