model,rung,source,n,accuracy,mean_score,run_ids
DeepSeek-V3.2,8192,infinitebench,4,0.5,0.564516129032258,v32_ib_longbook_choice_eng_8192_s00;v32_ib_longbook_qa_eng_8192_s00;v32_ib_number_string_8192_s00;v32_ib_passkey_8192_s00
DeepSeek-V3.2,8192,longbench_v1,4,,0.18948964257247392,v32_lb1_gov_report_8192_s00;v32_lb1_gov_report_8192_s01;v32_lb1_multi_news_8192_s03;v32_lb1_qmsum_8192_s02
DeepSeek-V3.2,8192,longbench_v2,4,0.25,0.25,v32_lb2_code_8192_s03;v32_lb2_long-dialogue_8192_s01;v32_lb2_multi-document_8192_s02;v32_lb2_single-document_8192_s00
DeepSeek-V3.2,8192,ruler,8,0.625,0.625,v32_ruler_niah_single_2_8192_s00;v32_ruler_niah_single_2_8192_s01;v32_ruler_niah_single_2_8192_s02;v32_ruler_niah_single_2_8192_s03;v32_ruler_qa_1_8192_s00;v32_ruler_qa_1_8192_s01;v32_ruler_qa_1_8192_s02;v32_ruler_qa_1_8192_s03
DeepSeek-V3.2,16384,infinitebench,4,0.25,0.31451612903225806,v32_ib_longbook_choice_eng_16384_s00;v32_ib_longbook_qa_eng_16384_s00;v32_ib_number_string_16384_s00;v32_ib_passkey_16384_s00
DeepSeek-V3.2,16384,longbench_v1,4,,0.23012269317142753,v32_lb1_gov_report_16384_s00;v32_lb1_gov_report_16384_s01;v32_lb1_gov_report_16384_s02;v32_lb1_qmsum_16384_s03
DeepSeek-V3.2,16384,longbench_v2,4,0.25,0.25,v32_lb2_code_16384_s03;v32_lb2_long-dialogue_16384_s01;v32_lb2_multi-document_16384_s02;v32_lb2_single-document_16384_s00
DeepSeek-V3.2,16384,ruler,8,0.75,0.75,v32_ruler_niah_single_2_16384_s00;v32_ruler_niah_single_2_16384_s01;v32_ruler_niah_single_2_16384_s02;v32_ruler_niah_single_2_16384_s03;v32_ruler_qa_1_16384_s00;v32_ruler_qa_1_16384_s01;v32_ruler_qa_1_16384_s02;v32_ruler_qa_1_16384_s03
DeepSeek-V3.2,32768,infinitebench,4,0.5,0.5862068965517242,v32_ib_longbook_choice_eng_32768_s00;v32_ib_longbook_qa_eng_32768_s00;v32_ib_number_string_32768_s00;v32_ib_passkey_32768_s00
DeepSeek-V3.2,32768,longbench_v1,4,,0.1798821390078405,v32_lb1_gov_report_32768_s01;v32_lb1_gov_report_32768_s02;v32_lb1_gov_report_32768_s03;v32_lb1_qmsum_32768_s00
DeepSeek-V3.2,32768,longbench_v2,4,0.5,0.5,v32_lb2_code_32768_s03;v32_lb2_long-dialogue_32768_s01;v32_lb2_multi-document_32768_s02;v32_lb2_single-document_32768_s00
DeepSeek-V3.2,32768,ruler,8,0.75,0.75,v32_ruler_niah_single_2_32768_s00;v32_ruler_niah_single_2_32768_s01;v32_ruler_niah_single_2_32768_s02;v32_ruler_niah_single_2_32768_s03;v32_ruler_qa_1_32768_s00;v32_ruler_qa_1_32768_s01;v32_ruler_qa_1_32768_s02;v32_ruler_qa_1_32768_s03
DeepSeek-V3.2,65536,infinitebench,4,0.75,0.8141025641025641,v32_ib_longbook_choice_eng_65536_s00;v32_ib_longbook_qa_eng_65536_s00;v32_ib_number_string_65536_s00;v32_ib_passkey_65536_s00
DeepSeek-V3.2,65536,longbench_v1,3,,0.19273259595518083,v32_lb1_gov_report_65536_s00;v32_lb1_gov_report_65536_s01;v32_lb1_gov_report_65536_s02
DeepSeek-V3.2,65536,longbench_v2,4,0.25,0.25,v32_lb2_code_65536_s03;v32_lb2_long-dialogue_65536_s01;v32_lb2_multi-document_65536_s02;v32_lb2_single-document_65536_s00
DeepSeek-V3.2,65536,ruler,8,0.875,0.875,v32_ruler_niah_single_2_65536_s00;v32_ruler_niah_single_2_65536_s01;v32_ruler_niah_single_2_65536_s02;v32_ruler_niah_single_2_65536_s03;v32_ruler_qa_1_65536_s00;v32_ruler_qa_1_65536_s01;v32_ruler_qa_1_65536_s02;v32_ruler_qa_1_65536_s03
DeepSeek-V3.2,131072,infinitebench,4,0.75,0.8175675675675675,v32_ib_longbook_choice_eng_131072_s00;v32_ib_longbook_qa_eng_131072_s00;v32_ib_number_string_131072_s00;v32_ib_passkey_131072_s00
DeepSeek-V3.2,131072,longbench_v2,4,0.25,0.25,v32_lb2_code_131072_s01;v32_lb2_long_131072_s02;v32_lb2_long_131072_s03;v32_lb2_single-document_131072_s00
DeepSeek-V3.2,131072,ruler,8,0.75,0.75,v32_ruler_niah_single_2_131072_s00;v32_ruler_niah_single_2_131072_s01;v32_ruler_niah_single_2_131072_s02;v32_ruler_niah_single_2_131072_s03;v32_ruler_qa_1_131072_s00;v32_ruler_qa_1_131072_s01;v32_ruler_qa_1_131072_s02;v32_ruler_qa_1_131072_s03
