benchmark,context,model,impl,mode,n_items,metric,value,delta_vs_clean,delta_ci_lo,delta_ci_hi,token_abs_dlogprob_mean,token_abs_dlogprob_p90,n_tokens,events,equivalent_to_noise_floor,floor_delta_ci,identical_token_streams,first_divergence_median
wikitext2,2048,DeepSeek-V3.2,-,clean,50,ppl,3.00062,0.0,0.0,0.0,0.0,0.0,51200,0,,,,
wikitext2,2048,DeepSeek-V3.2,-,clean2,50,ppl,3.00242,0.001798,-2.1e-05,0.00385,0.021934,0.05868,51200,0,,,,
wikitext2,2048,DeepSeek-V3.2,B,ctrl_identity,50,ppl,3.00229,0.001673,-0.000215,0.003804,0.021604,0.05784,51200,50,True,"[-2.1e-05, 0.00385]",,
wikitext2,2048,DeepSeek-V3.2,-,ctrl_numeric,50,ppl,3.00211,0.001491,-0.003478,0.005905,0.045024,0.13416,51200,50,True,"[-2.1e-05, 0.00385]",,
wikitext2,2048,DeepSeek-V3.2,A,perm_once_A,50,ppl,3.0027,0.002079,-0.000181,0.004381,0.022997,0.06465,51200,100,True,"[-2.1e-05, 0.00385]",,
wikitext2,2048,DeepSeek-V3.2,B,perm_once_B,50,ppl,3.00334,0.002718,-0.001123,0.006708,0.067083,0.19472,51200,150,True,"[-2.1e-05, 0.00385]",,
longbook_ppl,32768,DeepSeek-V3.2,-,clean,10,ppl,1.09395,0.0,0.0,0.0,0.0,0.0,20480,0,,,,
longbook_ppl,32768,DeepSeek-V3.2,-,clean2,10,ppl,1.09314,-0.00081,-0.003539,0.001349,0.025767,0.01269,20480,0,,,,
longbook_ppl,32768,DeepSeek-V3.2,-,clean3,10,ppl,1.09398,3.6e-05,-0.002363,0.002415,0.02675,0.01215,20480,150,True,,,
longbook_ppl,32768,DeepSeek-V3.2,-,clean4,10,ppl,1.09591,0.001962,-0.001491,0.006554,0.027159,0.01245,20480,150,True,,,
longbook_ppl,32768,DeepSeek-V3.2,B,ctrl_identity,10,ppl,1.09418,0.000229,-0.001508,0.002021,0.027527,0.0128,20480,10,True,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,-,ctrl_numeric,10,ppl,1.09234,-0.001605,-0.003346,0.000381,0.026494,0.01235,20480,10,True,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,A,perm_once_A,10,ppl,1.09248,-0.001464,-0.006011,0.001903,0.026908,0.01266,20480,20,True,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,A,perm_once_A@8,10,ppl,1.0932,-0.000746,-0.003341,0.001859,0.026947,0.01241,20480,180,True,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,B,perm_once_B,10,ppl,1.10015,0.006205,-0.000403,0.017812,0.027655,0.01405,20480,30,False,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,B,perm_once_B@8,10,ppl,1.09305,-0.000893,-0.002007,0.000184,0.027345,0.01197,20480,160,True,"[-0.003539, 0.001349]",,
longbook_ppl,32768,DeepSeek-V3.2,B,perm_once_B@9,10,ppl,1.09407,0.000118,-0.001357,0.00163,0.026689,0.01294,20480,170,True,"[-0.003539, 0.001349]",,
longbook_ppl,65536,DeepSeek-V3.2,-,clean,10,ppl,1.13569,0.0,0.0,0.0,0.0,0.0,20480,30,,,,
longbook_ppl,65536,DeepSeek-V3.2,-,clean2,10,ppl,1.13715,0.001469,-0.001599,0.005104,0.037111,0.02512,20480,30,,,,
longbook_ppl,65536,DeepSeek-V3.2,A,perm_once_A,10,ppl,1.13599,0.000305,-0.003153,0.004645,0.036626,0.02696,20480,40,True,"[-0.001599, 0.005104]",,
longbook_ppl,65536,DeepSeek-V3.2,B,perm_once_B,10,ppl,1.13707,0.001385,-0.002864,0.00654,0.036772,0.02634,20480,50,True,"[-0.001599, 0.005104]",,
longbook_ppl,131072,DeepSeek-V3.2,-,clean,10,ppl,1.09657,0.0,0.0,0.0,0.0,0.0,20480,50,,,,
longbook_ppl,131072,DeepSeek-V3.2,-,clean2,10,ppl,1.09345,-0.003122,-0.00941,0.002223,0.033062,0.02182,20480,50,,,,
longbook_ppl,131072,DeepSeek-V3.2,B,perm_once_B,10,ppl,1.09536,-0.001211,-0.004847,0.002715,0.034331,0.02203,20480,60,True,"[-0.00941, 0.002223]",,
ruler_niah2+qa1,32768,DeepSeek-V3.2,-,clean,10,accuracy,0.8,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,DeepSeek-V3.2,-,clean,10,accuracy,0.8,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,32768,DeepSeek-V3.2,B,perm_once_B,10,accuracy,0.8,0.0,,,,,,,,,8,9999.0
ruler_niah2+qa1,131072,DeepSeek-V3.2,B,perm_once_B,10,accuracy,0.8,0.0,,,,,,,,,8,9999.0
ruler_niah2+qa1,32768,DeepSeek-V3.2,B,perm_periodic_B,10,accuracy,0.8,0.0,,,,,,,,,8,9999.0
ruler_niah2+qa1,131072,DeepSeek-V3.2,B,perm_periodic_B,10,accuracy,0.8,0.0,,,,,,,,,8,9999.0
wikitext2,2048,GLM-5.2,-,clean,50,ppl,2.98346,0.0,0.0,0.0,0.0,0.0,51200,0,,,,
wikitext2,2048,GLM-5.2,-,clean2,50,ppl,2.98473,0.001272,-0.006223,0.008768,0.11701,0.35258,51200,0,,,,
wikitext2,2048,GLM-5.2,B,ctrl_identity,50,ppl,2.98667,0.003214,-0.004101,0.010943,0.117447,0.35161,51200,50,True,"[-0.006223, 0.008768]",,
wikitext2,2048,GLM-5.2,-,ctrl_numeric,50,ppl,2.98963,0.006174,-0.001636,0.014561,0.116328,0.34984,51200,50,True,"[-0.006223, 0.008768]",,
wikitext2,2048,GLM-5.2,A,perm_once_A,50,ppl,2.9856,0.002148,-0.005649,0.010771,0.118413,0.34899,51200,100,True,"[-0.006223, 0.008768]",,
wikitext2,2048,GLM-5.2,B,perm_once_B,50,ppl,2.98268,-0.00078,-0.007648,0.006319,0.117788,0.35122,51200,150,True,"[-0.006223, 0.008768]",,
longbook_ppl,32768,GLM-5.2,-,clean,10,ppl,1.8828,0.0,0.0,0.0,0.0,0.0,20480,150,,,,
longbook_ppl,32768,GLM-5.2,-,clean2,10,ppl,1.87699,-0.005811,-0.019767,0.006022,0.144263,0.43749,20480,150,,,,
longbook_ppl,32768,GLM-5.2,B,ctrl_identity,10,ppl,1.87702,-0.005788,-0.017572,0.006013,0.141775,0.43718,20480,160,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,-,ctrl_numeric,10,ppl,1.86972,-0.013082,-0.030808,0.003653,0.140413,0.42871,20480,160,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,A,perm_once_A,10,ppl,1.87549,-0.007317,-0.01947,0.004316,0.138637,0.41365,20480,170,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,B,perm_once_B,10,ppl,1.87551,-0.007291,-0.02092,0.007429,0.143555,0.43103,20480,180,True,"[-0.019767, 0.006022]",,
longbook_ppl,65536,GLM-5.2,-,clean,10,ppl,2.21461,0.0,0.0,0.0,0.0,0.0,20480,180,,,,
