benchmark,context,model,impl,mode,n_items,metric,value,delta_vs_clean,delta_ci_lo,delta_ci_hi,token_abs_dlogprob_mean,token_abs_dlogprob_p90,n_tokens,events,errors,equivalent_to_noise_floor,floor_delta_ci,delta_ci_includes_zero,flips_vs_clean,identical_token_streams,first_divergence_median
longbook,32768,DeepSeek-V3.2,-,clean,30,ppl,1.30584,0.0,0.0,0.0,0.0,0.0,61440,875,0,,,,,,
longbook,32768,DeepSeek-V3.2,-,clean2,30,ppl,1.30458,-0.00125,-0.004186,0.001506,0.039935,0.04834,61440,875,0,,,,,,
longbook,32768,DeepSeek-V3.2,B,ctrl_identity,30,ppl,1.30818,0.002347,-0.001336,0.005781,0.040713,0.04867,61440,905,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,-,ctrl_numeric,30,ppl,1.30699,0.001158,-0.001772,0.003901,0.040773,0.04918,61440,905,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,A,perm_once_A,30,ppl,1.30576,-7.5e-05,-0.003209,0.003624,0.041626,0.051,61440,935,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,A,perm_once_A@8,30,ppl,1.30683,0.000994,-0.001748,0.004078,0.041543,0.05106,61440,965,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,A,perm_once_A@9,30,ppl,1.307,0.00116,-0.001504,0.003994,0.040475,0.05082,61440,995,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,B,perm_once_B,30,ppl,1.30683,0.001,-0.001621,0.003859,0.041904,0.05058,61440,1025,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,B,perm_once_B@8,30,ppl,1.30449,-0.001347,-0.004024,0.001263,0.04116,0.05026,61440,1055,0,True,"[-0.004186, 0.001506]",True,,,
longbook,32768,DeepSeek-V3.2,B,perm_once_B@9,30,ppl,1.30452,-0.001316,-0.003509,0.000634,0.040799,0.04928,61440,1085,0,True,"[-0.004186, 0.001506]",True,,,
longbook,65536,DeepSeek-V3.2,-,clean,30,ppl,1.26778,0.0,0.0,0.0,0.0,0.0,61440,1085,0,,,,,,
longbook,65536,DeepSeek-V3.2,-,clean2,30,ppl,1.26589,-0.001888,-0.005977,0.001244,0.04784,0.06471,61440,1085,0,,,,,,
longbook,65536,DeepSeek-V3.2,B,ctrl_identity,30,ppl,1.2699,0.002119,-0.000721,0.005391,0.048792,0.06575,61440,1115,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,-,ctrl_numeric,30,ppl,1.27151,0.003728,-0.000222,0.008938,0.048555,0.06722,61440,1115,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,A,perm_once_A,30,ppl,1.26963,0.001846,-0.001825,0.006009,0.048129,0.06471,61440,1145,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,A,perm_once_A@8,30,ppl,1.2695,0.00172,-0.001278,0.005396,0.049129,0.06447,61440,1175,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,A,perm_once_A@9,30,ppl,1.26866,0.000879,-0.00204,0.003564,0.048696,0.06545,61440,1205,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,B,perm_once_B,30,ppl,1.26827,0.000487,-0.003301,0.004204,0.04863,0.06327,61440,1235,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,B,perm_once_B@8,30,ppl,1.27003,0.002252,-0.000487,0.00537,0.04822,0.06252,61440,1265,0,True,"[-0.005977, 0.001244]",True,,,
longbook,65536,DeepSeek-V3.2,B,perm_once_B@9,30,ppl,1.27009,0.002307,-0.002796,0.00792,0.048897,0.06547,61440,1295,0,True,"[-0.005977, 0.001244]",True,,,
longbook,131072,DeepSeek-V3.2,-,clean,30,ppl,1.3674,0.0,0.0,0.0,0.0,0.0,61440,1295,0,,,,,,
longbook,131072,DeepSeek-V3.2,-,clean2,30,ppl,1.3656,-0.0018,-0.00433,0.000541,0.051424,0.09148,61440,1295,0,,,,,,
longbook,131072,DeepSeek-V3.2,B,ctrl_identity,30,ppl,1.36662,-0.000784,-0.003516,0.001712,0.050359,0.08889,61440,1325,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,-,ctrl_numeric,30,ppl,1.3659,-0.001502,-0.003927,0.000756,0.050594,0.09289,61440,1325,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,A,perm_once_A,30,ppl,1.36464,-0.002756,-0.006535,0.000682,0.051079,0.09287,61440,1355,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,A,perm_once_A@8,30,ppl,1.36524,-0.002165,-0.005122,0.000527,0.051435,0.09232,61440,1385,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,A,perm_once_A@9,30,ppl,1.3669,-0.000497,-0.004104,0.003719,0.050702,0.09418,61440,1415,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,B,perm_once_B,30,ppl,1.36586,-0.001542,-0.004762,0.001623,0.050103,0.09166,61440,1445,0,True,"[-0.00433, 0.000541]",True,,,
longbook,131072,DeepSeek-V3.2,B,perm_once_B@8,30,ppl,1.36398,-0.003423,-0.006908,-0.000446,0.050822,0.09235,61440,1475,0,True,"[-0.00433, 0.000541]",False,,,
longbook,131072,DeepSeek-V3.2,B,perm_once_B@9,30,ppl,1.36724,-0.000158,-0.003274,0.002882,0.050002,0.08983,61440,1505,0,True,"[-0.00433, 0.000541]",True,,,
ptb,2048,DeepSeek-V3.2,-,clean,32,ppl,5.79739,0.0,0.0,0.0,0.0,0.0,32768,651,0,,,,,,
ptb,2048,DeepSeek-V3.2,-,clean2,32,ppl,5.7968,-0.000583,-0.004574,0.003673,0.027392,0.09599,32768,651,0,,,,,,
ptb,2048,DeepSeek-V3.2,B,ctrl_identity,32,ppl,5.79835,0.000966,-0.004174,0.006565,0.028088,0.0983,32768,683,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,-,ctrl_numeric,32,ppl,5.79606,-0.001328,-0.010429,0.00834,0.076259,0.21615,32768,683,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,A,perm_once_A,32,ppl,5.79837,0.000981,-0.002749,0.00502,0.027122,0.09503,32768,715,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,A,perm_once_A@8,32,ppl,5.79766,0.000279,-0.004741,0.005132,0.025864,0.09003,32768,747,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,A,perm_once_A@9,32,ppl,5.79593,-0.001461,-0.005874,0.003033,0.026233,0.09205,32768,779,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,B,perm_once_B,32,ppl,5.80337,0.005985,-0.005275,0.016968,0.088942,0.23825,32768,811,0,False,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,B,perm_once_B@8,32,ppl,5.7955,-0.001888,-0.011609,0.007552,0.089406,0.24047,32768,843,0,True,"[-0.004574, 0.003673]",True,,,
ptb,2048,DeepSeek-V3.2,B,perm_once_B@9,32,ppl,5.80553,0.008148,-0.003261,0.019721,0.090115,0.24223,32768,875,0,False,"[-0.004574, 0.003673]",True,,,
